Id,Point
8433,"50.6865,-4.23404"
8434,"50.8777,-4.48842"
8435,"50.2858,-4.80743"
8436,"51.6343,-2.37271"
8437,"51.1343,-2.39227"
8438,"50.7532,-3.25663"
8439,"50.826,-2.68594"
8440,"50.84209,-2.50201"
8441,"50.7438,-2.639"
8442,"50.6771,-4.61196"
8443,"51.0703,-3.64401"
8444,"50.3774,-3.99186"
8445,"51.1932,-3.61199"
8446,"51.2376,-2.32574"
8447,"50.2637,-3.81209"
8448,"50.6587,-2.4155"
8449,"50.4379,-4.9484"
8450,"50.91,-4.38086"
8451,"50.131,-5.25038"
8452,"50.8823,-3.09169"
8453,"51.1781,-4.10692"
8454,"50.0357,-5.20889"
8455,"51.1739,-2.50781"
8456,"51.2599,-2.80609"
8457,"51.1836,-2.90618"
8459,"51.0534,-2.89165"
8460,"51.2774,-2.60793"
8461,"51.4411,-2.82175"
8462,"51.5967,-2.14644"
8463,"50.5496,-4.00201"
8464,"50.8457,-2.751"
8465,"51.0239,-4.23689"
8466,"50.937,-2.5266"
8467,"50.3827,-4.89716"
8468,"50.3388,-4.83713"
8469,"50.2494,-5.04036"
8470,"50.7767,-3.17661"
8471,"50.4732,-3.8914"
8472,"50.6151,-3.38055"
8474,"50.9734,-3.38411"
8475,"50.4199,-4.40917"
8476,"50.23839,-5.24856"
8478,"50.5892,-4.83022"
8483,"51.6898,-.53033"
8484,"51.687,-.34106"
8485,"51.8279,-.44669"
8486,"51.7551,-.2857"
8497,"51.5496,-.41638"
8498,"51.5689,-.25843"
8499,"51.5007,-.20628"
8500,"51.5883,-.11333"
8502,"51.897,.18156"
8503,"51.9651,.14701"
8504,"51.8077,-.04007"
8507,"51.9726,-.02589"
8508,"51.9367,-.38533"
8509,"51.8138,-.28788"
8510,"51.8839,-.45464"
8511,"51.5274,.08455"
8513,"51.6639,.0402"
8520,"51.8849,-.15656"
8521,"51.619,.1728"
8522,"51.9137,.24925"
8523,"51.7011,-.7474"
8535,"51.8667,.2472"
8536,"51.873,-.26994"
8673,"51.1516,.17624"
8674,"51.2741,.21643"
8675,"51.1945,.23695"
8676,"50.885,.67266"
8677,"50.9654,.45238"
8678,"51.0283,.27457"
8679,"50.9432,.94522"
8680,"51.0826,.87125"
8681,"51.0587,.82124"
8682,"51.1174,1.19353"
8683,"51.3589,1.40282"
8684,"51.1328,-.44783"
8685,"51.2975,1.0525"
8686,"51.2584,1.03271"
8687,"51.3237,.90782"
8688,"51.3892,.84153"
8689,"51.3501,.74288"
8690,"51.3207,.44689"
8691,"51.1423,.09431"
8692,"51.0672,.2151"
8693,"51.3843,.62563"
8694,"51.2916,.19433"
8695,"50.6231,-1.30865"
8696,"51.202,.07698"
8698,"51.1414,-.01009"
8699,"51.2365,-.04753"
8700,"51.3737,1.17369"
8701,"51.3671,.0945"
8703,"51.5071,.13536"
8704,"51.4766,-.01771"
8706,"51.4155,-.16359"
8708,"51.3444,-.10469"
8709,"51.4489,-.22558"
8710,"51.3623,-.21025"
8711,"51.4003,-.28497"
8712,"51.1777,-.13443"
8713,"51.0841,-.21416"
8714,"51.4204,-.1086"
8760,"51.4654,-1.19653"
8977,"55.31248,-1.90937"
8981,"50.8631,.56638"
9062,"51.5463,-2.26739"
9068,"51.6534,-1.28876"
9130,"51.1599,1.11922"
9143,"51.6723,-1.95236"
9161,"50.804,-4.35685"
9162,"50.5165,-4.21013"
9166,"51.6341,-1.50579"
9167,"52.2242,-2.73191"
9168,"51.1247,-3.20167"
9173,"51.3406,-.60018"
9174,"51.4396,-.76694"
9175,"51.3299,-.76414"
9177,"51.3452,-1.24027"
9178,"51.4621,-1.32772"
9179,"51.5384,-1.56263"
9181,"51.5434,-1.34297"
9182,"51.531,-1.13497"
9183,"51.7413,-1.11967"
9184,"51.8306,-.85526"
9185,"51.7731,-.68917"
9186,"52.0726,-1.33377"
9187,"52.1687,-1.23598"
9188,"51.9387,-1.57301"
9189,"51.8786,-1.73744"
9190,"51.8263,-1.86354"
9191,"51.5684,-1.81166"
9192,"51.7925,-2.00748"
9193,"52.033,-3.17383"
9194,"53.59239,-1.9297"
9196,"52.7991,-2.27477"
9204,"53.8113,-2.64842"
9215,"53.79823,-2.05689"
9219,"50.913,.04417"
9220,"53.1021,-3.07802"
9221,"51.046,.19554"
9224,"51.1565,1.00885"
9225,"50.8534,-.13339"
9574,"51.6844,-2.16212"
9575,"53.0293,-1.91406"
9576,"52.8085,-1.7436"
9577,"53.5795,-.86974"
9584,"55.2557,-2.53974"
9585,"55.1426,-2.37557"
9586,"55.3502,-2.17032"
9587,"55.321,-2.39629"
9590,"55.5033,-2.13789"
9591,"55.7657,-2.0311"
9592,"55.553,-1.99791"
9593,"54.7481,-2.23473"
9595,"54.6564,-2.28593"
9596,"54.9601,-2.1594"
9597,"54.8051,-2.22206"
9598,"54.9701,-2.50121"
9599,"54.8198,-2.44606"
9600,"54.7746,-2.51668"
9601,"54.7427,-2.37835"
9602,"55.5918,-1.85422"
9603,"54.3801,-2.10569"
9604,"54.5048,-2.14083"
9605,"54.6828,-2.2524"
9606,"54.8711,-2.52337"
9608,"55.2069,-2.0394"
9609,"54.2754,-2.26313"
9610,"54.9391,-1.39368"
9611,"55.1753,-1.52221"
9612,"55.5803,-1.64614"
9613,"54.1642,-2.15289"
9614,"54.2187,-2.19517"
9615,"54.6107,-1.74108"
9616,"54.7617,-1.90242"
9617,"54.9991,-1.60534"
9618,"54.8612,-1.67"
9619,"55,-1.68446"
9620,"55.0466,-1.44749"
9621,"55.1332,-1.53884"
9622,"55.0353,-1.77166"
9623,"55.0342,-1.96995"
9625,"55.1543,-1.94448"
9626,"54.6339,-1.4805"
9627,"54.5603,-1.98446"
9628,"54.7612,-1.34069"
9629,"54.8238,-1.36579"
9630,"54.8942,-1.48968"
9631,"55.3466,-1.62981"
9657,"50.8144,.35786"
9925,"53.7776,-2.0838"
9927,"54.414,-1.98866"
9929,"54.3151,-2.17987"
10522,"52.7983,-3.78572"
10525,"51.9468,-3.6979"
10536,"52.8797,-3.15911"
10539,"51.9527,-3.78347"
10551,"52.4311,-3.8446"
10557,"53.11491,-2.22331"
10656,"54.4347,-.54994"
10663,"53.1945,-1.43515"
10672,"53.2503,-1.49862"
10673,"53.9989,-.43086"
10674,"53.8048,-.30885"
10675,"53.8674,-.36759"
10676,"53.6915,-.03144"
10677,"54.105,-.64316"
10683,"53.5908,-1.27053"
10684,"53.527,-1.38548"
10685,"53.5717,-1.58907"
10686,"53.3525,-1.54511"
10687,"53.3242,-1.53934"
10688,"53.3671,-1.59835"
10689,"53.679,-1.47773"
10690,"53.6984,-1.66786"
10691,"53.6058,-1.76704"
10692,"53.5524,-1.82433"
10693,"53.7723,-1.90397"
10694,"53.6568,-1.92537"
10695,"53.6363,-2.00544"
10698,"53.5001,-1.67404"
10699,"53.4805,-1.44099"
10709,"53.8335,-1.58851"
10710,"53.7878,-1.62742"
10711,"53.7972,-1.92434"
10712,"53.8294,-1.9761"
10714,"53.9861,-1.99894"
10715,"53.9115,-2.09855"
10719,"53.8761,-1.53265"
10720,"54.0713,-1.9132"
10724,"54.2448,-.80751"
10725,"54.3679,-.9736"
10726,"54.1999,-.93609"
10727,"54.2976,-1.16807"
10728,"54.3444,-.75439"
10730,"54.4088,-.75358"
10731,"54.4383,-.97748"
10732,"54.5054,-.84602"
10733,"53.9789,-1.64642"
10734,"54.1848,-1.90061"
10737,"53.9667,-1.11496"
10739,"54.3643,-1.29701"
10740,"54.3291,-1.45615"
10741,"54.3827,-1.39355"
10742,"54.419,-1.51606"
10743,"54.3194,-1.63745"
10744,"54.1307,-1.65713"
10751,"54.4095,-1.73628"
10752,"54.5178,-.96453"
10753,"54.5435,-1.20108"
10754,"54.4702,-1.09938"
10755,"54.5263,-1.50618"
10757,"54.8297,-1.80799"
10758,"54.624,-1.87023"
10765,"53.9836,-.22768"
10766,"54.041,-.24138"
10767,"54.1,-.20831"
10768,"54.1071,-.12883"
10769,"54.2041,-.30302"
10770,"54.2734,-.42269"
10771,"54.4861,-.72401"
10772,"54.5169,-.7525"
10773,"54.5417,-.81447"
10774,"54.5959,-1.04005"
10775,"54.7016,-1.1979"
10926,"50.906,-.07277"
10927,"50.9897,.12734"
10928,"50.8906,.55396"
10930,"51.1853,-.40886"
10934,"51.3721,.21685"
10963,"50.7712,-4.22853"
10964,"51.16415,-1.89483"
10995,"51.3804,-.13563"
11046,"51.4413,-.93787"
11047,"51.413,-1.72547"
11051,"52.06031,.49367"
11052,"51.79344,.6486"
11053,"51.54252,.56766"
11054,"51.96432,.60771"
11061,"52.63385,1.55642"
11062,"52.4569,-1.05294"
11063,"52.814,.01276"
